,review_cleaned
49498,okay not get purgatory thing first time watched episode. seemed like something significant going could not put finger. time costa mesa fires tv really caught attention helped writing essay inferno! let see not discussed yet ... twop review mentioned tony flights stairs go broken elevator. yeah significant number lots reasons especially religious one ya. hunch consulted wikipedia guess dante divided levels? purgatorio. excluding ante purgatory paradise. stuff bottom stairs ... tony not get. allegedly random monk slap scene. soon monks appeared fit perfectly place tony trying get purgatory. tell got worried christian commercial death disease sin came getting desperate christian heaven looking kinda iffy. time meets monks thinking hey maybe guys help? sounds like contemplating religions e.g. buddhism wondering path could take salvation. not tony necessarily literally thinking becoming buddhist appears finnerty tried messed. slap face basically tells tony quick fix not suddenly embrace buddhism get. tony initially not concerned getting heaven. conference entrance realizes not going easy. first saw name vs. driver license problem tony led sort double life killing people sleeping around kept secret people. feels free affair quasi melfi kevin finnerty. figures fool people kf cards like hotel receptionists not get purgatory. helicopters helicopters heaven? keeping track everything does.after reading theories infinnerty though seems like kf identity reminder infinite different paths tony could taken life. possibly along car joke involving infiniti made sense otherwise. aaaand point brain fizzles.
12144,not help notice negative reviews movie gotten. honest saw preview movie premise looked intrigued. yes rented reading others comments. correct acting leaves lot desired. also correct one best performances movie dr. graves.also interesting scott clark plays grant kid wheelchair. identify character played perhaps wheelchair.this movie certainly worth looking.
15118,movie released originally soft x apparently explicit sex deleted. later producers relented smelled money released excised scenes restored apparently minutes. guess since kristine age held against promising career came grinding halt. guess timing witness pam anderson career ronald reagan charge kristine debacle not heard nancy reagan affairs bill clinton monica lewinski full swing pam coming .the sex icing cake version satisfy. naughty musical way similar others released time.
14644,eyeliner worn nearly k years ago egypt. really not much stretch around th century. also not realize series flopped. second season airing not? amazing commentaries made either ill informed not watch show. waste space boards time. first show series maybe bit painful cast began fall place expected show. remainder first season excellent. hardly wait second season begin united states.
17523,not sure expect movie considering amazing collection stars directors end not disappoint.for one highlights final episode american tourist speaking dreadful french accent made feel better mine actually quite touching great way wrap movie.the story paramedic stabbing victim also moving pure comedy coen brothers steve buscemi take award. tom tykwer clip also impressive although rather ambitious scope.however bob hoskins segment totally cringeworthy vampire story completely farcical. dialogue wes craven section also felt forced chinatown story completely incomprehensible.on whole film worth watching good bits strong finish. not painful sit bad sections last minutes anyway.ca vaut la peine !! !
24712,ruthless assassin hired eliminate someone top u.s. government. constantly changing identity location known jackal. everything hit man secret. aware jackal presence uncertain purpose fbi deputy director faces biggest challenge career. order track cold blooded killer book russian intelligence officer enlist aid imprisoned irish terrorist. unlikely allies enter global race against clock stop mysterious mercenary complete assignment. looking non stop action movie like die hard jackal not movie. slow spy thriller many cool gadgets weapons. richard gere good job playing impassioned terrorist helping fbi deeper cause freedom. willis puts forth good effort jackal. ok film nothing.
43824,although series mini film particular important time release feel series whole actually fairly poorly written weak cast. issues heart extremely well portrayed yet difficult relate understand problems within film acting script not convincing enough especially looking mini film .i also not believe mini film series stood test time many scenes quite laughable. issues still crucial boys blackstuff not fully aid cause understanding problems britain.
725,long time fan star trek series found disappointing episode wonder liberal use flashbacks featuring riker exploits positive largely romantic negative lots pain crewmate death money saving device many bottle shows episodes scenes take place enterprise. diana muldaur also appeared least twice original series deserved better final appearance character dr. kate pulaski. loyal viewers star trek world kind? also shortchanged. last episode second season thus season ended not bang whimper.
8270,getting melange themes well covered many previous films. good bad son story courtesy east eden. american marine hero story not consider one due knows. grieving wife potentially falling love another man story.the mere fact stories ubiquitous not much problem though. theoretically could still better presented dealt time around. luck time though three threads ultimately fall flat same.as bad son never really gets talk father conflict never resolved properly. apart father kind starting appreciate bad son thanks latter renovating kitchen grieving wife. satisfying that.next surprisingly homecoming marine suspecting wife unfaithfulness conflict never gets resolved. never really talks man suspicion namely brother. handed loose end here.and finally american military heroism hypocrisy theme marine publicly considered hero due dirtiness war went not really called one standards third theme falls flat. movie ends right first time able talk wife went. real story would actually begin point namely process recovery would look like would finally face family would major guilt admit. really interesting bits passed getting ignored.so story wise film serious mean serious disappointment would still give points impressive cast. although film use maguire voice belongs spiderman. especially grown gyllenhaal seems fulfill expectations aroused young aspiring actor. much would fact love see entrusted really deep demanding lead role proper profile.so cast really seems consider film totally forgettable otherwise. shallow ultimately pretentious utterly unsatisfying tear squeezer indeed. message du jour writers know wounds already see host vietnam films. want earn credit show us believable healing.
29226,movie collection inexpensive b movies. not restored fact audio difficult discern first minutes.at first seemed like typical haunted house film feels much like forerunner clue murder death house haunted hill etc.about half hour film storyline takes really interesting twist goes clich melodrama something entirely different far entertaining initially thought.check great deal fun even long clips wider shots near lack music score make feel bit creaky today standards.
16823,movie sort similar better dead stars. one though not quite good. granted rather funny enjoyable something better ... like well better. one guys going nantucket spend summer vacation. meet girl trying save house guy wants turn lobster restaurant. guy really not seem like lobsters cause one scene sticks boiling water puts stethoscope hear scream. main character torn girl girl son guy wants make restaurant. somehow another leads big boat race showdown kind like summer rental though works bit better fits plot little better. though deal boat races time? weird fascination? part movie delivers laughs good clip better dead still better cause first jokes worked better.
25045,beautiful woman backwoods inbred monster man super sweet monster truck road kill zombie brother friends ... one anal retentive overly sensitive nerd foul mouthed adolescent slob. throw together dash jeepers creepers texas chainsaw massacre road trip got monster man. hilarious horror comedy outing never sets say something. simple straight forward laugh fest. unpretentious well made horror comedy heart buddy flick. film offered hilarious sickening set pieces. highly recommend fright fans looking entertained.
10430,loved movie! shocked disappointed never made theaters. every story better last .. much better much hyped scream series know last summer way better terrible urban legend. would recommend film every horror fan.
13413,back youth old man wanted marry first cousin family forbid. many decades later old man raised three children two boys one girl allows son daughter marry children. soon sister bored brother jumps bed brother .one might think three siblings stuck somewhere remote island. upper class europeans going college busy social world.never see flirtatious moment non related female two brothers. never see flirtatious moment non related male one sister. flirtatious moments shared brothers sister.the weakest part gladiator incest thing. young emperor commodus would hundreds slave girls city full marriage minded girls wanted sister? movie incest cup tea sunshine slowly thrill end.
15601,highly original decent movie brave move involved. not care not well put together movie time fact eddie murphy something non formulaic not know happen next makes favorite mine. wish movies imaginative one rather old formula entertainment.
6244,possibly stupidest tasteless violent slapstick comedy ever made guest house also funny one. not listen critics sense humour. climax runs steam not vomit still funny party movie. seven candles eye ten.
5545,movie interesting cast mat not list cast actors film good job. im glad b grade movies like one story basic actors basic way execute not need million dollar budget make film mix b list ordinary actors basic plot. like way street one else around also though interesting not close caf set gear police station. arnold vosloo michael madsen great job portraying roles hostage situation. great film hope see like near future.
14831,not fooled silly title folks one sweet ride! true successor tetsuo iron man ichi killer gem starts bang lays gore thick credits roll. seems aliens taking people bodies modifying war machines used fight twisted game amusement species. winner battle eats loser alive. mostly plot cares gore good? idea many buckets slime used disgusting behold. interesting effective use stop motion takeovers progress loving care lavished creature make effects. cgi bit limited actually not detract overall quality one bit least. truly fun stomach turning film deserves much praise truly earned place stack cult classics. find watch not disappointed!
21879,feels like feature lenght treatment comedy routine could also told ten minute short. also technical credits sup par. film really feels like film school diploma project.the cast mix seasoned stage pros talented newcomers problems superficial scrip. lines feel constructed exactly like cued tv show material.the director fails take protagonists seriously therefore not touched problems conflicts.the film cleverly marketed offers unique selling point end film disappoints levels.
